metric,rmse,rmse,rmse,rmse,rmse,rmse,rmse,rmse,ssim,ssim,ssim,ssim,ssim,ssim,ssim,ssim,rmse,rmse,rmse,rmse,rmse,rmse,rmse,ssim,ssim,ssim,ssim,ssim,ssim,ssim
output,beetle-1,beetle-2,input,network,nlm,planaria-1,planaria-3,planaria-4,beetle-1,beetle-2,input,network,nlm,planaria-1,planaria-3,planaria-4,beetle-1,beetle-2,input,nlm,planaria-1,planaria-3,planaria-4,beetle-1,beetle-2,input,nlm,planaria-1,planaria-3,planaria-4
condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condition_1,0.15899000000000002,0.16962,0.12739,0.033010000000000005,0.15954000000000002,0.15237,0.15350999999999998,0.14287,0.16884000000000002,0.06984,0.123815,0.8827799999999999,0.08183,0.11062999999999999,0.10311,0.15098,0.0095,0.01196,0.01505,0.0154,0.01544,0.01642,0.01734,0.037110000000000004,0.0184,0.02337,0.02131,0.02903,0.03567,0.046239999999999996
condition_2,0.12944,0.13844,0.10730999999999999,0.027510000000000003,0.12686,0.11953,0.12155,0.1114,0.2916,0.11990999999999999,0.178215,0.9067,0.13427999999999998,0.19435999999999998,0.1828,0.25372,0.00596,0.00799,0.01004,0.01165,0.01053,0.01137,0.01183,0.056470000000000006,0.03022,0.03563,0.033389999999999996,0.04818,0.06629,0.07188
condition_3,0.10228,0.10889000000000001,0.084275,0.02356,0.095,0.08832999999999999,0.09206,0.08269,0.50745,0.23031999999999997,0.29779500000000003,0.92217,0.24528000000000003,0.36839,0.34747,0.44856,0.006690000000000001,0.0071,0.007809999999999999,0.01171,0.008140000000000001,0.00829,0.00828,0.07633999999999999,0.057710000000000004,0.06299,0.05878,0.08674,0.11367000000000001,0.10973
